Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,17.4,13.556
2,15.6,11.748
3,15.2,11.372
4,13.9,10.041
5,10.3,6.461
6,9.1,5.251
7,4,0.151
8,15.4,11.519
9,13.2,9.336
10,11,7.157
11,4.5,0.642
12,4,0.153
13,4,0.152
14,3.9,0.044
15,13,9.11
16,7.9,4.043
17,4.2,0.352
18,4,0.13
19,3.9,0.075
20,3.9,0.07
21,3.9,0.028
22,8.3,4.401
23,4,0.139
24,3.9,0.051
25,4,0.15
26,3.9,0.128
27,3.9,0.067
28,4,0.127
29,4,0.143
30,3.9,0.031
31,3.9,0.04
32,4,0.112
33,4.1,0.207
34,3.9,0.038
35,0,0
36,0,0
37,0,0
38,0,0
39,4,0.112
40,4,0.08
41,4,0.09
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,3.9,0.096
48,4,0.062
49,3.9,0.046
50,0,0
51,0,0
52,0,0
53,0,0
54,3.9,0.071
55,4,0.1
56,4,0.1
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
