Test No: BB15,Date: 9/29/12,Nozzle:
Flowrate: 120,Fluid: CAF,"Pattern: Smooth Bore 7/8"""
Flow time: 20 s,,
Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,14.5,10.656
2,14.3,10.448
3,13.9,10.072
4,10.5,6.641
5,9,5.161
6,9.8,5.951
7,4,0.151
8,14.1,10.219
9,12,8.136
10,6.4,2.557
11,4.2,0.342
12,4,0.153
13,3.9,0.052
14,3.9,0.044
15,12.8,8.91
16,5.7,1.843
17,4,0.152
18,4.2,0.33
19,4.1,0.275
20,4,0.17
21,4,0.128
22,11,7.101
23,4,0.139
24,4,0.151
25,4.1,0.25
26,4.1,0.328
27,4,0.167
28,4,0.127
29,5.3,1.443
30,4,0.131
31,4,0.14
32,4,0.112
33,4.1,0.207
34,4.1,0.238
35,4,0.162
36,4.5,0.612
37,3.9,0.07
38,4,0.121
39,4,0.112
40,4,0.08
41,4.1,0.19
42,4,0.13
43,4.2,0.322
44,3.9,0.016
45,3.9,0.038
46,4,0.17
47,3.9,0.096
48,4.1,0.162
49,4,0.146
50,4,0.128
51,4,0.128
52,4,0.1
53,4,0.152
54,4.2,0.371
55,4,0.1
56,4,0.1
57,4,0.06
58,4,0.1
59,4,0.1
60,3.9,0.02
61,4,0.14
62,4,0.1
63,4.2,0.1
64,4,0.084
65,3.9,0
66,3.9,0.06
67,4,0.1
68,3.9,0.02
69,4,0.08
70,4,0.1
