Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,78,74.625
2,14.2,10.348
3,11.7,7.872
4,9.7,5.841
5,8.7,4.861
6,7.6,3.751
7,4.3,0.451
8,7.1,3.219
9,4.3,0.436
10,4.2,0.357
11,4.2,0.342
12,4.1,0.253
13,4,0.152
14,0,0
15,5,1.11
16,4.1,0.243
17,4.1,0.252
18,4.2,0.33
19,4.1,0.275
20,0,0
21,0,0
22,4,0.101
23,4,0.139
24,4,0.151
25,4,0.15
26,4,0.228
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
