Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,,
2,14.1,10.248
3,13,9.172
4,8.6,4.741
5,8,4.161
6,6.6,2.751
7,4.3,0.451
8,8.2,4.319
9,4.4,0.536
10,4.2,0.357
11,4.2,0.342
12,4.3,0.453
13,4.3,0.452
14,,0
15,5.3,1.41
16,4.2,0.343
17,4.1,0.252
18,4.2,0.33
19,4.2,0.375
20,4.3,0.47
21,,0
22,4.8,0.901
23,4.1,0.239
24,4.1,0.251
25,4.2,0.35
26,4.2,0.428
27,4.3,0.467
28,,0
29,4.3,0.443
30,4.2,0.331
31,4.3,0.44
32,4.4,0.512
33,4.5,0.607
34,4,0.138
35,,0
36,4.1,0.212
37,3.9,0.07
38,4.1,0.221
39,4.2,0.312
40,4.2,0.28
41,4,0.09
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
