Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,,
2,12.5,8.648
3,11.3,7.472
4,9,5.141
5,7.8,3.961
6,6.5,2.651
7,4.3,0.451
8,6.6,2.719
9,4.3,0.436
10,4.1,0.257
11,4.1,0.242
12,4.2,0.353
13,4.2,0.352
14,,0
15,5.1,1.21
16,4.2,0.343
17,4.1,0.252
18,4.2,0.33
19,4.2,0.375
20,4.4,0.57
21,,0
22,4.7,0.801
23,4.1,0.239
24,4.1,0.251
25,4.2,0.35
26,4.2,0.428
27,4.4,0.567
28,,0
29,4.5,0.643
30,4.3,0.431
31,4.3,0.44
32,4.4,0.512
33,4.7,0.807
34,4.3,0.438
35,,0
36,4.2,0.312
37,3.9,0.07
38,4.1,0.221
39,4.2,0.312
40,4.3,0.38
41,4.1,0.19
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
