Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,0,0
2,0,0
3,0,0
4,0,0
5,5.7,1.861
6,12.2,8.351
7,12.1,8.251
8,6.3,2.419
9,6.9,3.036
10,12.7,8.857
11,12,8.142
12,0,0
13,0,0
14,0,0
15,0,0
16,4.3,0.443
17,5.7,1.852
18,5.5,1.63
19,5.6,1.775
20,5.8,1.97
21,9.1,5.228
22,7,3.101
23,0,0
24,0,0
25,0,0
26,0,0
27,4.2,0.367
28,5.4,1.527
29,5.1,1.243
30,6.2,2.331
31,6.5,2.64
32,8,4.112
33,6.9,3.007
34,0,0
35,0,0
36,0,0
37,0,0
38,4.2,0.321
39,5.2,1.312
40,4.7,0.78
41,5.8,1.89
42,5.8,1.93
43,7,3.122
44,6.7,2.816
45,0,0
46,0,0
47,0,0
48,0,0
49,4.2,0.346
50,5.4,1.528
51,4.5,0.628
52,4.2,0.3
53,4.7,0.852
54,7.4,3.571
55,5.8,1.9
56,0,0
57,0,0
58,0,0
59,0,0
60,5.1,1.22
61,6.6,2.74
62,4.4,0.5
63,4.9,0.8
64,4.7,0.784
65,8.1,4.2
66,5,1.16
67,0,0
68,0,0
69,0,0
70,0,0
71,4.9,1.062
72,6.9,3.064
73,4.4,0.568
74,4.6,0.752
75,4.8,0.818
76,8.7,4.832
77,4.2,0.316
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,4.9,1
84,4.6,0.76
85,4.7,0.82
86,4.7,0.8
87,0,0
88,0,0
