Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,33.8,29.956
2,13.3,9.448
3,11.1,7.272
4,10.7,6.841
5,11.1,7.261
6,11.5,7.651
7,7.5,3.651
8,5.1,1.219
9,4.2,0.336
10,0,0
11,0,0
12,19.9,16.053
13,6.3,2.452
14,5.6,1.744
15,5.2,1.31
16,4.9,1.043
17,4.7,0.852
18,4.8,0.93
19,4.8,0.975
20,4.5,0.67
21,0,0
22,0,0
23,15.8,11.939
24,6.3,2.451
25,5.8,1.95
26,5.1,1.328
27,4.7,0.867
28,4.5,0.627
29,4.3,0.443
30,4.4,0.531
31,4.3,0.44
32,0,0
33,0,0
34,9.4,5.538
35,6,2.162
36,5.7,1.812
37,4.9,1.07
38,4.5,0.621
39,4.2,0.312
40,4.4,0.48
41,4.1,0.19
42,0,0
43,0,0
44,0,0
45,4.8,0.938
46,4.3,0.47
47,4.3,0.496
48,4.4,0.462
49,4.2,0.346
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
