Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,15.8,11.956
2,12.6,8.748
3,12,8.172
4,9.8,5.941
5,4.7,0.861
6,4,0.151
7,,0
8,11.8,7.919
9,10.7,6.836
10,7.9,4.057
11,4.1,0.242
12,3.9,0.053
13,3.9,0.052
14,,0
15,11.3,7.41
16,6.7,2.843
17,4.3,0.452
18,4,0.13
19,3.9,0.075
20,3.9,0.07
21,,0
22,7.4,3.501
23,4.3,0.439
24,4,0.151
25,4,0.15
26,3.8,0.028
27,3.9,0.067
28,,0
29,3.9,0.043
30,3.9,0.031
31,3.9,0.04
32,3.9,0.012
33,4,0.107
34,3.9,0.038
35,,0
36,,0
37,,0
38,,0
39,,0
40,,0
41,,0
42,,0
43,,0
44,,0
45,,0
46,,0
47,,0
48,,0
49,,0
50,,0
51,,0
52,,0
53,,0
54,,0
55,,0
56,,0
57,,0
58,,0
59,,0
60,,0
61,,0
62,,0
63,,0
64,,0
65,,0
66,,0
67,,0
68,,0
69,,0
70,,0
