Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,43.3,39.456
2,10.1,6.248
3,8.8,4.972
4,6,2.141
5,5.5,1.661
6,5.2,1.351
7,0,0
8,0,0
9,0,0
10,0,0
11,0,0
12,19.7,15.853
13,4.6,0.752
14,4.2,0.344
15,4.1,0.21
16,4,0.143
17,4,0.152
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,17.2,13.339
24,4.7,0.851
25,4.3,0.45
26,4.2,0.428
27,4,0.167
28,4,0.127
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,14.8,10.938
35,4.9,1.062
36,4.3,0.412
37,4.3,0.47
38,4.4,0.521
39,4.1,0.212
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,12.6,8.738
46,4.5,0.67
47,4,0.196
48,4.1,0.162
49,4.1,0.246
50,4,0.128
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,10.1,6.2
57,4.2,0.26
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,6.7,2.8
68,4,0.12
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,4,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
