Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,0,0
2,5.8,1.948
3,7,3.172
4,7.1,3.241
5,7.9,4.061
6,11.5,7.651
7,11.6,7.751
8,9.7,5.819
9,10.4,6.536
10,11.7,7.857
11,10.9,7.042
12,0,0
13,0,0
14,4.7,0.844
15,4.5,0.61
16,4.4,0.543
17,4.5,0.652
18,4.7,0.83
19,5,1.175
20,5.3,1.47
21,5,1.128
22,5,1.101
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,4.3,0.427
29,4.4,0.543
30,4.8,0.931
31,5,1.14
32,4.7,0.812
33,4.7,0.807
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,4.2,0.28
41,4.6,0.69
42,4.8,0.93
43,4.5,0.622
44,4.9,1.016
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,4.3,0.4
53,4.5,0.652
54,4.3,0.471
55,6.4,2.5
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,4.2,0.36
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,4.1,0.216
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
