Collection Pan #,Total Mass Collected (kg),Mass of Water Collected (kg)
1,13.3,9.456
2,13.9,10.048
3,13,9.172
4,9.7,5.841
5,8.1,4.261
6,6.5,2.651
7,0,0
8,13.3,9.419
9,11.2,7.336
10,5.9,2.057
11,4,0.142
12,3.9,0.053
13,3.9,0.052
14,0,0
15,11,7.11
16,4.5,0.643
17,4.1,0.252
18,4.2,0.33
19,4,0.175
20,3.9,0.07
21,0,0
22,5.1,1.201
23,4,0.139
24,4,0.151
25,4,0.15
26,3.9,0.128
27,3.9,0.067
28,,0
29,4,0.143
30,3.9,0.031
31,4,0.14
32,4,0.112
33,4,0.107
34,3.9,0.038
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
